,country,year,iso_code,population,gdp,variable,value,energy_source,type,unit,source
9133,Europe,2015,,743294457.0,,biofuel_electricity,180.27,biofuel,electricity,terawatt-hours,biofuel
9134,Europe,2016,,744516175.0,,biofuel_electricity,182.82,biofuel,electricity,terawatt-hours,biofuel
9135,Europe,2017,,745657647.0,,biofuel_electricity,187.57,biofuel,electricity,terawatt-hours,biofuel
9136,Europe,2018,,746577709.0,,biofuel_electricity,192.51,biofuel,electricity,terawatt-hours,biofuel
9137,Europe,2019,,747418251.0,,biofuel_electricity,199.55,biofuel,electricity,terawatt-hours,biofuel
9138,Europe,2020,,747462669.0,,biofuel_electricity,205.45,biofuel,electricity,terawatt-hours,biofuel
9139,Europe,2021,,746417727.0,,biofuel_electricity,215.14,biofuel,electricity,terawatt-hours,biofuel
9140,Europe,2022,,744806995.0,,biofuel_electricity,203.94,biofuel,electricity,terawatt-hours,biofuel
10130,North America,2013,,560056144.0,,biofuel_electricity,84.09,biofuel,electricity,terawatt-hours,biofuel
10131,North America,2014,,565486685.0,,biofuel_electricity,85.71,biofuel,electricity,terawatt-hours,biofuel
10132,North America,2015,,570726015.0,,biofuel_electricity,87.01,biofuel,electricity,terawatt-hours,biofuel
10133,North America,2016,,576008328.0,,biofuel_electricity,88.05,biofuel,electricity,terawatt-hours,biofuel
10134,North America,2017,,581258143.0,,biofuel_electricity,87.98,biofuel,electricity,terawatt-hours,biofuel
10135,North America,2018,,585864285.0,,biofuel_electricity,86.8,biofuel,electricity,terawatt-hours,biofuel
